file,file_in_repo,repo,repo_version,name,parent_function
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,dtfreduce_sum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfreduce_sum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.constant,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,float,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.size,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.divide,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unreduce,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unreduce,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unreduce,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfadd
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfadd
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfadd
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.negative,dtfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.divide,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.negative,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.divide,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfmaximum
